,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z_subj.27,0.48576591044662204,0.022587757775372412,0.44206636721100345,0.4702056616736075,0.48552637570207408,0.5010920923101021,0.5293273948722016,0.00062219656730659264
z_subj.28,0.48640033867138299,0.021555478352935351,0.44433202677065758,0.47181317473086332,0.48574385490583399,0.5007935182682981,0.52872397502547086,0.00062585245836185226
z_subj.29,0.50365477406571291,0.021213723377547573,0.46226201897399155,0.48982252257879666,0.50382835932796,0.51748066384361635,0.54628900041467532,0.00060269274755195106
z_subj.30,0.52471095312646709,0.021836206448240605,0.48356501693426857,0.50966794114229164,0.52435150685416898,0.53905679879196022,0.56853847026610227,0.00061065213864008676
z_subj.31,0.53580001153462187,0.023196225520848619,0.4919403393857219,0.51995298882542818,0.53580788024689641,0.55133698045473289,0.58260968179158412,0.00075449862434690993
v_Intercept,0.0042882564175734991,0.028400243014773438,-0.051730901581451771,-0.014169463628927854,0.0046260307909462874,0.022369237249767155,0.060931287305595223,0.00073545296750054088
v_Intercept_std,0.13600079290360617,0.024478073643290826,0.095049384842232049,0.11882211008172264,0.13427590153989788,0.15069365856958916,0.18908898206924907,0.00084693401611359129
v_Intercept_subj.1,-0.25948824992161396,0.071105409926169885,-0.40607228008200602,-0.30579924576614531,-0.25869164778711573,-0.20919167171178035,-0.1238340350376349,0.0021233944892387327
v_Intercept_subj.2,-0.096055535479496024,0.069444655451026044,-0.22886388562075086,-0.14081707319542963,-0.096635796542289515,-0.049659589661791542,0.040322066990470695,0.0017248741790588881
v_Intercept_subj.3,0.07099409197247207,0.058660768481640181,-0.037967233869112729,0.029400310741761519,0.070444408188094845,0.11078717580132522,0.19300299408534544,0.0016867904703112546
v_Intercept_subj.4,0.032655896248730693,0.055831172299847423,-0.078189010494842143,-0.0049526450347609219,0.031168069360198399,0.070962619348998723,0.14351528862442681,0.0014697553045191262
v_Intercept_subj.5,-0.1078282397944722,0.066741010107411083,-0.2401610149529616,-0.15215543023053058,-0.10711208529488143,-0.063870626522902291,0.021859752782080966,0.0018402717449119536
v_Intercept_subj.6,0.038805297422109322,0.065565703095017747,-0.085340146650898757,-0.0043324532193135951,0.038789273997856255,0.082740159519294157,0.16869807873324477,0.002031248329246318
v_Intercept_subj.7,0.13350634347343671,0.072983198741891062,-0.010184968829143909,0.085484729249956412,0.13260989650030613,0.18180049965690678,0.27544141117910725,0.0019233141086471932
v_Intercept_subj.8,0.024868824466981333,0.0673641860345119,-0.10303385210258463,-0.020115538764571596,0.024513079915622377,0.068978575448232923,0.16223326416787129,0.0017835976250798933
v_Intercept_subj.9,0.066190182524900346,0.05409435477883151,-0.039037542623873649,0.029390464264695687,0.066267678279832237,0.10291543970325508,0.17781401300155761,0.0014582305016603936
v_Intercept_subj.10,0.032256216278747529,0.054531749810134637,-0.081274976358338191,-0.002969919630718576,0.032705392565578688,0.06798171054728025,0.13875437119911993,0.0014972772074370055
v_Intercept_subj.11,0.10713573162302913,0.071003902089101234,-0.02670556722935552,0.057990143785623248,0.10495044027133602,0.15686874920383617,0.24942695735817677,0.0020302163987151018
v_Intercept_subj.12,0.0090735821849712087,0.071682805742977307,-0.13005658147075633,-0.038787755241028066,0.0082275686505555584,0.056711950665295732,0.1490860033991275,0.0016906474625571536
v_Intercept_subj.13,-0.20287365843712521,0.073381018324603947,-0.34735552743854636,-0.25178375972182998,-0.20189646257544847,-0.15315822241078808,-0.060543451305237028,0.0020962604846217086
v_Intercept_subj.14,-0.17048651538749762,0.066081833664529868,-0.30434147794778027,-0.21368047785629393,-0.16944374005432736,-0.12506264201638023,-0.042511462107507697,0.0018689134575906011
v_Intercept_subj.15,-0.041977066127551775,0.067600901663452909,-0.17137813297729912,-0.087905659873458719,-0.043414130990039865,0.0055645084193418071,0.087176357049112793,0.0017053912055853316
v_Intercept_subj.16,0.22483075387579396,0.061684804922101148,0.1038081671626144,0.18199262756818091,0.22567389801585364,0.26670448177098638,0.34584708358020133,0.0017169286960307159
v_Intercept_subj.17,0.083091887741545425,0.09688663175411158,-0.10481394325642407,0.01751845932503493,0.082943265281957251,0.15092737389414629,0.26906847817688678,0.0024885889509843216
v_Intercept_subj.18,0.077292587419216977,0.061582160843522922,-0.042561903845775552,0.036877476439041629,0.077658711088654048,0.11911262442741148,0.19460494826507913,0.0017695474976276721
v_Intercept_subj.19,-0.041565599914490235,0.056954383978636919,-0.15024447793321077,-0.081185169827906134,-0.040160721865435033,-0.0026431294246334613,0.070293843696878189,0.0015929337995153707
v_Intercept_subj.20,0.084677282504352316,0.056271087204757562,-0.02410802967188002,0.046438871025273991,0.083992950720402651,0.12270672788576564,0.196701011307234,0.0016478764034655517
v_Intercept_subj.21,-0.0052714941603802844,0.056908814731241701,-0.11516068483080634,-0.04363273016155976,-0.004536584661425147,0.033922058113517027,0.10537300844910877,0.0014736944993309152
v_Intercept_subj.22,0.20670385265525865,0.071003399783136481,0.068827326205605194,0.15835534134563367,0.20563908313129159,0.254195802134559,0.34840651864348754,0.00210827152917702
