,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z_subj.21,0.51731442414799478,0.016137184114678686,0.48605627836252785,0.50633005256651076,0.51694560201663897,0.52826975062946335,0.54927449128329708,0.00035714120864845913
z_subj.22,0.49803999887554135,0.016421719719050248,0.46432809291175137,0.4870109523352486,0.49810565826709641,0.50910362623712113,0.53030451003398782,0.00032848824382895523
z_subj.23,0.52842755029507549,0.016764622608361632,0.49622843926118315,0.51688841224818916,0.52833790748968146,0.53983985947138491,0.56158573687513469,0.00033301234003523856
v_Intercept,0.050770445421004208,0.024742223047784135,0.0013290233746813263,0.034631702753367098,0.050419508483014103,0.067302070796892002,0.099821203405880854,0.00043179140089000197
v_Intercept_std,0.10742799497137205,0.021433733190593149,0.07234850001135408,0.092512994755290692,0.10546521005623349,0.11964639590846368,0.15715545093480698,0.00051915151027428748
v_Intercept_subj.1,-0.012494485558499923,0.041782041160628426,-0.098717650062886353,-0.038450482504969401,-0.011277781184088898,0.015057872132921313,0.066277928424953558,0.00099840809593052275
v_Intercept_subj.2,0.014988675396896179,0.037562087489104293,-0.057716049259211616,-0.010032164565522542,0.015443223097376918,0.039828114739812459,0.089115549162080532,0.00068744636798786054
v_Intercept_subj.3,-0.0016862691699184105,0.059192648699586944,-0.11775144182005765,-0.04178087843360713,-0.0020146536379502672,0.038307549036087338,0.11584362580558814,0.0013415940889199957
v_Intercept_subj.4,0.15550363796097735,0.052453443044164792,0.057741800047768396,0.11887644232903045,0.15533633382122788,0.19019560331034885,0.26146177058416276,0.00090717937907029787
v_Intercept_subj.5,0.05474785213052169,0.044191098358142819,-0.031134965550121546,0.024410761148314572,0.05454311072079026,0.084940406293865137,0.14053010273450278,0.00082694110269734551
v_Intercept_subj.6,-0.024082666173011212,0.037381180744536634,-0.097969112360274016,-0.048653280134629877,-0.023872817235515265,0.0004619814478956652,0.051143932863079722,0.00071430290147950735
v_Intercept_subj.7,0.059874765309127498,0.040435818516539129,-0.018713578470704414,0.03230259948429845,0.05918153080439037,0.086555542400679253,0.14231167732231814,0.00082227255237336957
v_Intercept_subj.8,-0.10417110711230143,0.047618286274002372,-0.19955400403492271,-0.13605264366994468,-0.10340030284084739,-0.071734854517584851,-0.011995046406854518,0.00090868439082022383
v_Intercept_subj.9,-0.0034906325983593079,0.048200620345444173,-0.10115744302680661,-0.034920543315776209,-0.0016035560040883919,0.028563009264618369,0.089582245101265098,0.00088315556982420979
v_Intercept_subj.10,-0.064650028226127199,0.044644954121633329,-0.15072220065771358,-0.095174408011579614,-0.064392473331812861,-0.033746726662431392,0.022425685138531049,0.0011089064877016434
v_Intercept_subj.11,-0.078940282430266545,0.0578738676749622,-0.19540969217623863,-0.11758830040114117,-0.07811315143514605,-0.040996287743756438,0.032888099298111539,0.0013159340829476912
v_Intercept_subj.12,0.051114313259074319,0.051865374969336908,-0.050784628695049683,0.016020417500634716,0.051017187100131353,0.087013998843365442,0.15084523311385112,0.0010397636936479485
v_Intercept_subj.13,0.22634483795023461,0.056100450944959204,0.11858509407617779,0.18831013948748979,0.22609722995019499,0.2637289958737119,0.33804709998708476,0.0011987471105812158
v_Intercept_subj.14,0.081663486282290434,0.040739360427937257,0.0010048401937301638,0.05483049314015203,0.081367194950374255,0.10959895987738458,0.16117864400776155,0.00073658932963668075
v_Intercept_subj.15,0.08716386139628815,0.040213629949520498,0.011316597040714055,0.05992361434896696,0.086652004535843014,0.11362149150896175,0.16973332903752747,0.0007645033147884409
v_Intercept_subj.16,0.1564208658736618,0.04736676991443111,0.064509536153697963,0.12399630803377872,0.15714939795754404,0.18715456889431112,0.24976779165496327,0.000957491089134903
v_Intercept_subj.17,0.054943633804430146,0.03831718694450223,-0.01910214583192682,0.029308252293414161,0.054551308139423799,0.080335718946797474,0.13159591726077152,0.00071682860860041624
v_Intercept_subj.18,0.058030544780770653,0.047205763792211121,-0.032964019848257892,0.02654096746805211,0.057872581514531438,0.089516288802067717,0.15336515007443391,0.00082115857648964769
v_Intercept_subj.19,-0.092403331023514487,0.039134590588078819,-0.16899792116955772,-0.11940108888575757,-0.092227043242935958,-0.065232056783209647,-0.015920709371338326,0.00078056672241883288
v_Intercept_subj.20,0.15101146096361429,0.046252098488657627,0.060830962386316703,0.11947071029385699,0.151386084456544,0.18221184934106688,0.2428409567213089,0.00090750369826259265
v_Intercept_subj.21,0.19743589593866878,0.048731180481428688,0.10303250836803521,0.16378599975785429,0.19749751599728038,0.23078225435523697,0.29411950136303056,0.0010756102797100813
v_Intercept_subj.22,0.072651878579936616,0.038776145867788415,-0.0013450350732749292,0.046071938344059024,0.072674497270019164,0.098762916216224211,0.14880674318867207,0.00078464186520956175
v_Intercept_subj.23,0.12021330734092499,0.045903071349049772,0.031470075313636311,0.089254362306141893,0.11922299838364642,0.15185201240298191,0.20997317288966044,0.00080289859415397951
v_summedVal,0.50323253609044116,0.0088625423197007582,0.48582833413002846,0.49737662926336129,0.50322228215730069,0.50920841725750099,0.52044801033777355,0.00013072522881817257
a_Intercept,3.2576972512033651,0.13860852299156054,2.9859204220441189,3.1677561166747505,3.2566487219540465,3.3469867276505192,3.5335969266258083,0.0019541334397865243
a_Intercept_std,0.65330349781369546,0.11051537642641919,0.47675699772635971,0.57355887013295437,0.64011438625422867,0.71587669068720916,0.90970037985876062,0.0019731892190857098
a_Intercept_subj.1,3.8180176361406253,0.11450483604737033,3.5988319817362449,3.7389505421357283,3.8129424860287733,3.8972134668069076,4.047883819126624,0.0021141337612375515
a_Intercept_subj.2,4.0851477519605215,0.13402790981621773,3.8313865171829109,3.9942707262891051,4.0799533298152157,4.1756471557466748,4.3550373854733513,0.0027462107568199294
a_Intercept_subj.3,2.2106655276746747,0.067405437528401072,2.081775629623329,2.1645301371045749,2.2095603998264171,2.2549835593227776,2.3469903479135366,0.0015114176297413534
a_Intercept_subj.4,2.5593822865938929,0.079102606106448495,2.4099252591863864,2.505207532645926,2.5564639169860039,2.6112040809134207,2.7208393802050588,0.0016717859437005455
a_Intercept_subj.5,3.1159384450150194,0.095709418590330678,2.9352394914133542,3.0519095091864124,3.111923297426749,3.1793295163842044,3.3192533042282832,0.0021111990266049489
a_Intercept_subj.6,4.3318223766892183,0.13139968975958929,4.0758279123287338,4.2430183403010888,4.3301328560607875,4.4195161914774479,4.58559176722662,0.0024565907182034609
a_Intercept_subj.7,3.5913727191616913,0.1054874819103159,3.386942635485378,3.5191400324556898,3.58949515490953,3.6611875357049732,3.801131525367639,0.0023390237665658234
a_Intercept_subj.8,2.9278932063639802,0.092998070530801613,2.7493624138610273,2.8634667201574353,2.9258637207074885,2.99022402783678,3.118194785356303,0.0021686018030056152
a_Intercept_subj.9,2.9253682857804209,0.089081033009945881,2.7561267949634116,2.8621220079753149,2.9245831854224664,2.9852790492302828,3.1008397074628125,0.0015913615034595207
a_Intercept_subj.10,3.3323842946759745,0.10661777615411754,3.1346281130236551,3.2584700832295814,3.3283166747870809,3.4020296670543844,3.5517195235931376,0.0026572800803888108
a_Intercept_subj.11,2.6555577007100197,0.081764768465552404,2.4965138849965798,2.5999735898846543,2.6536798951964298,2.7120230421856251,2.8186577212398962,0.0016575376900727051
a_Intercept_subj.12,2.49744879728047,0.074981645517999101,2.3527831296384871,2.4463514569865525,2.497261173095731,2.5474965617522232,2.6468542869324634,0.0017313280211704563
a_Intercept_subj.13,2.6239309016816974,0.076722612051522254,2.4752459098660533,2.5719225426316927,2.6219486909122223,2.6747467282629458,2.7791477702029819,0.001391706512639855
a_Intercept_subj.14,4.0768872520781043,0.14540043587330501,3.8046421461781712,3.9760977357781946,4.0727988093874696,4.1723232369990093,4.3703835508028757,0.003333492056074968
a_Intercept_subj.15,3.6384349042374406,0.12023959977983376,3.4091931714051849,3.5577571228966764,3.6349556724361012,3.7136266377989955,3.8864136150017696,0.0026644340660651822
a_Intercept_subj.16,3.3911324201550577,0.10168847499605928,3.1979008690458341,3.3199939164679373,3.3898438294931097,3.4604945093420603,3.5880038869367463,0.0019204313077702418
a_Intercept_subj.17,3.6133487075478827,0.11955507354103061,3.3934318208511729,3.5310948964193019,3.6081139883834856,3.6927617290124628,3.861015617576963,0.0028989973672584363
a_Intercept_subj.18,2.8059154951153165,0.085611499012181902,2.6447878605166322,2.7468278093804663,2.8030379122394353,2.8620829831577579,2.9788572944745777,0.0020775237233384277
a_Intercept_subj.19,4.2641447247530433,0.15773783599868163,3.9669738714685505,4.1522171934063357,4.2586267628283316,4.3689421547838547,4.5927575832797221,0.0035095016291659927
a_Intercept_subj.20,2.9189836814547112,0.092412396232597546,2.7429174434061774,2.8560897451488589,2.9168604806856027,2.9785087535886392,3.1074517989120558,0.0020544072540104896
a_Intercept_subj.21,2.7884572027090524,0.090076260257336657,2.6178406706370696,2.725201039271032,2.7875230273245668,2.8482232024890726,2.9696012998892729,0.002282602190344543
a_Intercept_subj.22,3.6115662079006041,0.10428012642941224,3.4143848244738741,3.5404978269108294,3.6087071456131663,3.6831129467727153,3.8163411729414074,0.0021073937706548172
a_Intercept_subj.23,3.0701748183811119,0.098636134326549954,2.8785559405685803,3.0026999476470593,3.0699697876602388,3.1348309146749003,3.2684370164132504,0.0021271399186975747
a_C(multNum)[T.1],0.03792239735281764,0.035488623756328573,-0.03211317358570244,0.013486232631878342,0.038928701198610437,0.061259878395280104,0.10644133018937524,0.0011495440515838877
a_C(multNum)[T.2],0.31084793480226725,0.052115688604940175,0.20948437901845793,0.27615133655762258,0.30998005696701336,0.34616334047950525,0.41401116523573345,0.0012703090328148978
