FoodNum	Food	LikingMean	LikingSD	LikingN	HealthMean	HealthSD	HealthN	TasteMean	TasteSD	TasteN
183	chicken_spread.bmp	-0.8	1.354	25	-0.8	0.9129	25	-0.56	1.4166	25
184	popcorn_kettlecorn.bmp	0.2	1.2247	25	-0.4	1.1902	25	0.4	1.118	25
185	milkduds.bmp	0.24	1.4514	25	-0.76	1.2	25	0.52	1.3577	25
186	FigNewton_small.bmp	0.44	1.3868	25	-0.48	1.0456	25	0.36	1.1504	25
187	chowmein.bmp	-0.08	1.2884	25	-0.76	0.9695	25	0.4	1.2247	25
188	RitzBitz2.bmp	0.32	1.0693	25	-0.84	0.9434	25	0.28	1.1733	25
189	gushers.bmp	0.08	1.2557	25	-0.96	0.7895	25	0.4	1.291	25
190	Cupcakes.bmp	0.44	1.4742	25	-1	1.291	25	0.52	1.388	25
191	whitegrapes.bmp	1	1.3229	25	0.64	1.3503	25	1	1.291	25
192	relish.bmp	-0.2	1.3229	25	-0.12	0.9274	25	-0.08	1.1874	25
193	babycorn.bmp	-0.24	1.5078	25	-0.12	1.1662	25	-0.04	1.3379	25
194	redgrapes.bmp	1.12	0.9713	25	0.6	1.5546	25	1.12	1.0924	25
195	odwallaprotein.bmp	0.88	1.0924	25	0.56	1.1576	25	0.76	1.1284	25
196	PeanutMMs.bmp	0.24	1.3928	25	-0.76	1.0909	25	0.36	1.3191	25
197	dietcoke.bmp	0	1.354	25	-0.88	1.0924	25	-0.04	1.3988	25
198	brusselsprouts.bmp	-0.24	1.3928	25	0.64	1.4107	25	0.08	1.3515	25
199	babybeans.bmp	-0.24	1.6653	25	-0.04	1.2741	25	-0.16	1.7	25
200	slimjim.bmp	0.04	1.5674	25	-0.64	1.2871	25	-0.04	1.4855	25
201	Funyuns_small.bmp	0	1.1902	25	-1.16	0.9866	25	0.28	1.1372	25
202	jollyrancherpurple.bmp	-0.52	1.2949	25	-0.52	1.1944	25	-0.16	1.3128	25
203	grannysmith.bmp	0.68	1.314	25	0.4	1.472	25	0.8	1.0801	25
204	honeyroastedpeanuts.bmp	0.72	1.1372	25	-0.48	1.0456	25	0.8	1.2247	25
205	salmon.bmp	-0.28	1.3077	25	-0.36	1.2207	25	0	1.354	25
206	apple.bmp	0.88	1.1662	25	0.64	1.3808	25	0.88	1.0924	25
207	mango.bmp	0.64	1.3808	25	0.68	1.376	25	0.76	1.1284	25
208	lollipopred.bmp	-0.04	1.2069	25	-0.36	1.186	25	-0.12	1.394	25
209	sprouts.bmp	0.24	1.4799	25	0.72	1.4295	25	0.4	1.4434	25
210	3Musketeers.bmp	0.16	1.2806	25	-0.68	1.1804	25	0.4	1.291	25
211	hamspread.bmp	-0.84	1.2477	25	-0.92	1.0376	25	-0.56	1.3868	25
212	cranberries.bmp	-0.08	1.1874	25	-0.08	1.1518	25	0.48	1.2288	25
213	AppleJacks.bmp	0	1.4434	25	-0.16	1.2138	25	0.08	1.382	25
214	FamousAmos_small.bmp	0.52	1.0847	25	-0.8	1.0801	25	0.64	1.036	25
215	carrot_babyfood.bmp	-0.48	1.5308	25	0.28	1.1	25	-0.12	1.4526	25
216	specialKbar.bmp	0.16	1.4048	25	-0.12	1.2014	25	0.2	1.2247	25
217	wildberrynerds.bmp	0.24	1.2675	25	-0.64	1.186	25	0.36	1.186	25
218	beefjerky.bmp	-0.28	1.2754	25	-0.56	1.3868	25	0.04	1.3988	25
219	raisins.bmp	0	1.118	25	0.28	0.9798	25	0.32	1.0296	25
220	Garbanzobeans.bmp	-0.2	1.3229	25	0.04	1.241	25	-0.04	1.241	25
221	chicknoodlesoup.bmp	0.2	1.354	25	-0.52	0.8226	25	0.4	1.354	25
222	ruffles_cheddar.bmp	0.12	1.3013	25	-0.72	1.0614	25	0.16	1.3128	25
223	nutrigrain_blue.bmp	0	1.291	25	-0.44	1.0832	25	0.12	1.2014	25
224	luckycharms.bmp	0.36	1.3808	25	-0.56	1.261	25	0.56	1.1576	25
225	PowderedDonuts_small.bmp	0.2	1.3229	25	-0.88	1.5089	25	0.16	1.2477	25
226	nutrigrain_straw.bmp	0.56	1.2936	25	-0.32	1.2819	25	0.48	1.2949	25
227	CornPops.bmp	0.28	1.2083	25	-0.44	1.121	25	0.44	1.261	25
228	Cheetos.bmp	0.32	1.249	25	-0.96	0.8888	25	0.32	1.1075	25
229	applefritter.bmp	0.24	1.562	25	-0.92	1.382	25	0.4	1.5	25
230	Fritos.bmp	0	1.3844	25	-0.76	1.0909	25	0.16	1.0279	25
231	Twix.bmp	0.68	1.4059	25	-0.96	1.0599	25	0.96	1.4283	25
232	frostedcheerios.bmp	0.28	1.2083	25	-0.6	1.0801	25	0.6	1.118	25
233	CherryPie.bmp	0	1.3229	25	-0.8	1.118	25	0.08	1.1874	25
234	ChocolateDonuts.bmp	0.08	1.2557	25	-1.04	1.1719	25	0.28	1.2083	25
235	squash_babyfood.bmp	-0.64	1.4399	25	0.08	1.0376	25	-0.6	1.4142	25
236	ecolier_dark.bmp	0.6	1.3229	25	-0.6	1.0408	25	0.88	1.2356	25
