parcode,trial,rt,choice,item_left,item_right
0,267,1250,1,0,1
0,268,7770,1,0,1
0,269,1830,1,0,1
0,270,3310,-1,0,1
0,271,2500,1,0,1
0,272,450,-1,0,1
0,273,9450,1,0,1
0,274,2820,-1,0,1
0,275,1900,-1,0,1
0,276,3100,1,0,1
0,277,3020,1,0,1
0,278,6320,-1,0,1
0,279,640,1,0,1
0,280,1310,1,0,1
0,281,4030,1,0,1
0,282,710,1,0,1
0,283,4170,1,0,1
0,284,1400,1,0,1
0,285,710,1,0,1
0,286,3000,1,0,1
0,287,1300,-1,0,1
0,288,4500,1,0,1
0,289,1580,-1,0,1
0,290,2430,1,0,1
0,291,3050,1,0,1
0,292,1120,1,0,1
0,293,720,1,0,1
0,294,3380,1,0,1
0,295,3820,1,0,1
0,296,1260,1,0,1
0,297,9140,1,0,1
0,298,970,1,0,1
0,299,2920,-1,0,1
0,300,2900,-1,0,2
0,301,2450,1,0,2
0,302,3330,1,0,2
0,303,3080,1,0,2
0,304,1630,1,0,2
0,305,1140,1,0,2
0,306,2810,1,0,2
0,307,390,1,0,2
0,308,830,1,0,2
0,309,2840,1,0,2
0,310,1400,1,0,2
0,311,2150,1,0,2
0,312,1280,1,0,2
0,313,970,1,0,2
0,314,3050,1,0,2
0,315,1420,1,0,2
0,316,1630,-1,0,2
0,317,2490,1,0,2
0,318,1020,-1,0,2
0,319,3270,-1,0,2
0,320,2160,1,0,2
0,321,2060,1,0,2
0,322,1150,1,0,2
0,323,2920,1,0,2
0,324,2900,1,0,2
0,325,1940,1,0,2
0,326,1870,1,0,2
0,327,1170,1,0,2
0,328,440,1,0,2
0,329,6540,1,0,2
0,330,1180,1,0,2
0,331,340,1,0,2
0,332,2640,1,0,2
0,333,730,1,0,2
0,334,580,1,0,2
0,335,330,-1,0,2
0,336,1630,1,0,2
0,337,1610,1,0,2
0,338,800,1,0,2
0,339,1160,1,0,2
0,340,5320,-1,0,2
0,341,940,1,0,2
0,342,580,-1,0,2
0,343,2070,1,0,2
0,344,3680,1,0,2
0,345,8270,1,0,2
0,346,1340,1,0,2
0,347,940,1,0,2
0,348,890,1,0,2
0,349,1150,1,0,2
0,350,2680,1,0,2
0,351,3750,-1,0,2
0,352,3610,1,0,2
0,353,2110,1,0,2
0,354,2160,1,0,2
0,355,4050,1,0,2
0,356,540,1,0,2
0,357,5440,1,0,2
0,358,1310,-1,0,2
0,359,5530,1,0,2
0,360,1980,1,0,2
0,361,3040,1,0,2
0,362,4970,1,0,2
0,363,3190,1,0,2
0,364,770,1,0,2
0,365,1230,1,0,2
0,366,4910,1,0,2
