parcode,trial,rt,choice,item_left,item_right
0,172,2060,1,-1,0
0,173,3940,1,-1,0
0,174,2230,1,-1,0
0,175,2100,1,-1,0
0,176,15600,-1,-1,0
0,177,620,1,-1,0
0,178,3410,1,-1,0
0,179,7570,-1,-1,0
0,180,800,1,-1,0
0,181,1080,1,-1,0
0,182,3740,-1,-1,0
0,183,2750,-1,-1,0
0,184,750,1,-1,0
0,185,5370,1,-1,0
0,186,710,-1,-1,0
0,187,3740,-1,-1,0
0,188,1220,-1,-1,0
0,189,3750,-1,-1,0
0,190,1720,1,-1,0
0,191,2940,1,-1,0
0,192,1520,-1,-1,0
0,193,950,1,-1,0
0,194,650,-1,-1,0
0,195,6130,1,-1,0
0,196,3350,1,-1,0
0,197,900,-1,-1,0
0,198,2390,1,-1,0
0,199,2050,1,-1,0
0,200,1000,1,-1,0
0,201,2780,1,-1,0
0,202,3600,1,-1,0
0,203,5310,-1,-1,0
0,204,1760,1,-1,0
0,205,2140,-1,-1,0
0,206,510,1,-1,0
0,207,2570,1,-1,0
0,208,1940,-1,-1,0
0,209,3810,-1,-1,0
0,210,7020,1,-1,0
0,211,1020,1,-1,0
0,212,9670,1,-1,0
0,213,410,1,-1,0
0,214,3030,1,-1,0
0,215,6920,1,-1,0
0,216,4050,-1,-1,0
0,217,880,1,-1,0
0,218,1150,1,-1,0
0,219,4720,1,-1,0
0,220,4130,1,-1,0
0,221,590,1,-1,0
0,222,1220,1,-1,0
0,223,860,1,-1,0
0,224,1820,1,-1,0
0,225,680,1,-1,0
0,226,1020,1,-1,0
0,227,810,1,-1,0
0,228,1030,1,-1,0
0,229,6890,1,-1,0
0,230,1500,-1,-1,0
0,231,4840,1,-1,0
0,232,4180,1,-1,0
0,233,2990,-1,-1,0
0,234,5070,1,-1,0
0,235,5710,1,-1,0
0,236,4390,1,-1,0
0,237,6290,1,-1,0
0,238,1460,1,-1,0
0,239,2800,-1,-1,0
0,240,2210,1,-1,0
0,241,730,1,-1,0
0,242,1120,1,-1,0
0,243,7760,1,-1,0
0,244,510,-1,-1,0
0,245,3390,1,-1,0
0,246,1360,-1,-1,0
0,247,2020,1,-1,0
0,248,3350,1,-1,0
0,249,190,1,-1,0
0,250,1640,1,-1,0
0,251,2000,1,-1,0
0,252,4900,-1,-1,0
0,253,6510,-1,-1,0
0,254,1120,1,-1,0
0,255,1480,-1,-1,0
0,256,1950,1,-1,0
0,257,3790,1,-1,0
0,258,2980,1,-1,0
0,259,590,1,-1,0
0,260,1180,-1,-1,0
0,261,5630,1,-1,0
0,262,880,-1,-1,0
0,263,3340,1,-1,0
0,264,1390,1,-1,0
0,265,4710,-1,-1,0
0,266,1490,1,-1,0
0,267,950,1,-1,0
0,268,1180,1,-1,0
0,269,4590,-1,-1,0
0,270,1010,1,-1,0
0,271,2310,1,-1,0
0,272,2760,-1,-1,0
0,273,4980,-1,-1,0
0,274,2640,1,-1,0
0,275,6350,-1,-1,0
0,276,940,1,-1,0
0,277,2320,1,-1,0
0,278,4930,-1,-1,0
0,279,3410,1,-1,0
0,280,3170,1,-1,0
0,281,2550,1,-1,0
0,282,1050,1,-1,0
0,283,970,1,-1,0
0,284,2360,1,-1,0
0,285,2200,-1,-1,0
0,286,7510,1,-1,0
